event_file,tag,step,wall_time,value
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776530172.ip-172-31-28-114.51865.0,grad_norm_g,200,1776530293.5703096,130.71470642089844
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776530172.ip-172-31-28-114.51865.0,grad_norm_g,400,1776530363.9813814,136.3353271484375
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776530172.ip-172-31-28-114.51865.0,grad_norm_g,600,1776530440.2773569,102.69770812988281
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776530172.ip-172-31-28-114.51865.0,grad_norm_g,800,1776530505.5919223,74.02301788330078
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776530172.ip-172-31-28-114.51865.0,grad_norm_g,1000,1776530581.8288136,154.0136260986328
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_g,1000,1776531050.585263,94.48607635498047
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776530172.ip-172-31-28-114.51865.0,grad_norm_g,1200,1776530658.428193,107.98985290527344
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_g,1200,1776531158.403112,177.33056640625
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776530172.ip-172-31-28-114.51865.0,grad_norm_g,1400,1776530723.3785737,169.3046417236328
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_g,1400,1776531232.5437427,136.0922088623047
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_g,1600,1776531314.6485496,99.34764099121094
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_g,1800,1776531381.4429224,141.75428771972656
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_g,2000,1776531459.2664018,70.97061920166016
